ID Cliente,Churn,gênero,idoso,Parceiro,Dependentes,Meses contrato,Serviço telefone,Linhas multiplas,Serviço Internet,Segurança Online,Backup Online,Dispositivo_Proteção,Suporte Técnico,Tv Streaming,Filmes Streaming,Contrato,Conta Papel,Método pagamento,Cobrança Mensal,Cobrança Total,Cobrança diária
2506-CLAKW,Sim,Mulher,Não,Não,Não,6,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Não,Sim,Mês a mês,Sim,Transferência Bancária,98.15,567.45,3.271666666666667
2506-TNFCO,Sim,Mulher,Sim,Sim,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,69.55,69.55,2.3183333333333334
2507-QZPQS,Não,Homem,Não,Não,Não,15,Sim,Sim,Fibra óptica,Não,Sim,Não,Sim,Não,Sim,Mês a mês,Não,Eletrônico,95.7,1451.1,3.19
2509-TFPJU,Não,Homem,Não,Sim,Não,72,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Cartão de Crédito,25.75,1864.2,0.8583333333333333
2511-ALLCS,Não,Mulher,Não,Sim,Sim,35,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,24.3,821.6,0.81
2511-MORQY,Não,Homem,Não,Sim,Sim,50,Sim,Sim,DSL,Não,Não,Sim,Não,Não,Não,Um ano,Não,Transferência Bancária,54.9,2614.1,1.8299999999999998
2514-GINMM,Sim,Homem,Não,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,79.5,79.5,2.65
2516-VQRRV,Sim,Mulher,Sim,Não,Não,2,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,75.45,158.4,2.515
2516-XSJKX,Não,Mulher,Não,Sim,Sim,41,Sim,Não,DSL,Sim,Sim,Não,Sim,Sim,Sim,Dois anos,Não,Eletrônico,78.45,3126.45,2.615
2519-ERQOJ,Não,Homem,Sim,Não,Não,33,Não,Sem serviço,DSL,Não,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Eletrônico,54.6,1803.7,1.82
2519-FAKOD,Sim,Homem,Não,Não,Sim,38,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Transferência Bancária,99.25,3777.15,3.308333333333333
2519-LBNQL,Não,Homem,Sim,Sim,Não,60,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Um ano,Sim,Eletrônico,104.35,6339.45,3.478333333333333
2519-TWKFS,Não,Homem,Não,Sim,Sim,25,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Não,Um ano,Sim,Correspondência,55.1,1466.1,1.8366666666666667
2521-NPUZR,Não,Homem,Não,Sim,Não,70,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Não,Sim,Dois anos,Não,Cartão de Crédito,101.0,7085.5,3.3666666666666667
2522-AHJXR,Não,Homem,Não,Sim,Não,60,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Transferência Bancária,109.45,6572.85,3.6483333333333334
2522-WLNSF,Não,Mulher,Sim,Sim,Não,34,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Não,Um ano,Não,Transferência Bancária,64.2,2106.3,2.14
2523-EWWZL,Não,Mulher,Não,Sim,Não,27,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,76.1,2093.4,2.5366666666666666
2525-GVKQU,Não,Mulher,Não,Não,Não,60,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Correspondência,20.6,1093.0,0.6866666666666668
2528-HFYZX,Sim,Homem,Sim,Sim,Não,17,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,76.45,1233.4,2.5483333333333333
2530-ENDWQ,Sim,Mulher,Não,Sim,Não,71,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Dois anos,Sim,Transferência Bancária,93.7,6585.35,3.1233333333333335
2530-FMFXO,Não,Homem,Não,Sim,Sim,56,Sim,Sim,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Dois anos,Sim,Eletrônico,103.2,5873.75,3.44
2533-QVMSK,Sim,Homem,Não,Sim,Não,61,Sim,Sim,Fibra óptica,Não,Sim,Não,Sim,Sim,Não,Dois anos,Sim,Eletrônico,94.1,5638.3,3.1366666666666663
2533-TIBIX,Não,Homem,Não,Sim,Sim,15,Não,Sem serviço,DSL,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,30.2,469.65,1.0066666666666666
2535-PBCGC,Não,Mulher,Não,Sim,Não,70,Não,Sem serviço,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Transferência Bancária,64.55,4504.9,2.1516666666666664
2538-OIMXF,Não,Mulher,Não,Não,Sim,1,Não,Sem serviço,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Correspondência,24.7,24.7,0.8233333333333334
2541-YGPKE,Não,Homem,Não,Sim,Sim,42,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Sim,Um ano,Não,Cartão de Crédito,63.7,2763.35,2.1233333333333335
2542-HYGIQ,Não,Mulher,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Cartão de Crédito,19.95,19.95,0.6649999999999999
2545-EBUPK,Não,Mulher,Sim,Não,Não,2,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Eletrônico,84.05,186.05,2.8016666666666667
2545-LXYVJ,Não,Homem,Não,Sim,Não,72,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,20.7,1492.1,0.69
2546-KZAAT,Não,Homem,Não,Sim,Não,52,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Um ano,Sim,Correspondência,75.4,3865.45,2.5133333333333336
2550-AEVRU,Não,Mulher,Não,Sim,Sim,57,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Um ano,Não,Eletrônico,53.45,3053.0,1.7816666666666667
2550-QHZGP,Não,Homem,Não,Não,Não,7,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Correspondência,19.5,128.6,0.65
2558-BUOZZ,Não,Homem,Não,Não,Não,47,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Um ano,Não,Transferência Bancária,94.8,4535.85,3.1599999999999997
2560-PPCHE,Não,Mulher,Não,Não,Não,65,Sim,Sim,Fibra óptica,Não,Sim,Não,Sim,Sim,Sim,Um ano,Sim,Transferência Bancária,105.05,6744.25,3.5016666666666665
2560-QTSBS,Não,Mulher,Não,Sim,Sim,72,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Transferência Bancária,23.3,1623.15,0.7766666666666667
2560-WBWXF,Não,Homem,Não,Não,Não,68,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Transferência Bancária,24.15,1498.85,0.8049999999999999
2565-JSLRY,Sim,Homem,Não,Não,Não,1,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Sim,Correspondência,24.05,24.05,0.8016666666666666
2568-BRGYX,Sim,Homem,Não,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,70.2,237.95,2.3400000000000003
2568-OIADY,Sim,Mulher,Não,Sim,Não,37,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,99.5,3762.0,3.316666666666667
2569-WGERO,Não,Mulher,Não,Não,Não,72,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Transferência Bancária,21.15,1419.4,0.705
2573-GYRUU,Não,Homem,Sim,Sim,Não,48,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Cartão de Crédito,91.05,4370.75,3.0349999999999997
2575-GFSOE,Sim,Mulher,Não,Sim,Sim,7,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,69.0,506.9,2.3
2576-HXMPA,Não,Mulher,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Cartão de Crédito,19.55,19.55,0.6516666666666667
2577-GVSIL,Não,Homem,Não,Sim,Sim,35,Sim,Sim,DSL,Não,Não,Não,Sim,Sim,Sim,Um ano,Sim,Transferência Bancária,73.45,2661.1,2.4483333333333333
2578-JQPHZ,Não,Homem,Não,Não,Não,44,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Dois anos,Não,Transferência Bancária,100.1,4378.35,3.3366666666666664
2580-ASVVY,Não,Mulher,Não,Sim,Não,37,Não,Sem serviço,DSL,Sim,Não,Não,Sim,Sim,Não,Dois anos,Não,Eletrônico,45.4,1593.1,1.5133333333333332
2580-ATZSQ,Não,Mulher,Não,Sim,Sim,65,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Um ano,Não,Transferência Bancária,61.35,3874.1,2.045
2581-VKIRT,Não,Mulher,Não,Sim,Sim,59,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Um ano,Não,Correspondência,65.5,3801.3,2.183333333333333
2582-FFFZR,Não,Mulher,Não,Não,Não,22,Não,Sem serviço,DSL,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,50.6,1073.3,1.6866666666666668
2585-KTFRE,Não,Homem,Não,Não,Sim,1,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Sim,Mês a mês,Sim,Transferência Bancária,70.45,70.45,2.3483333333333336
2586-CWXVV,Não,Homem,Não,Sim,Não,54,Não,Sem serviço,DSL,Não,Sim,Não,Não,Não,Não,Mês a mês,Não,Eletrônico,30.4,1621.35,1.0133333333333332
2587-EKXTS,Não,Homem,Não,Não,Não,44,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,111.5,4915.15,3.716666666666667
2587-YNLES,Não,Mulher,Não,Sim,Sim,6,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Correspondência,20.1,100.35,0.67
2589-AYCRP,Não,Mulher,Não,Não,Não,50,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Transferência Bancária,19.75,989.05,0.6583333333333333
2592-HODOV,Não,Homem,Não,Não,Não,13,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Cartão de Crédito,19.3,259.65,0.6433333333333333
2592-SEIFQ,Sim,Homem,Não,Não,Não,3,Não,Sem serviço,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Eletrônico,24.75,66.95,0.825
2592-YKDIF,Não,Mulher,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,20.35,20.35,0.6783333333333333
2595-KIWPV,Não,Homem,Não,Não,Sim,27,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Cartão de Crédito,19.7,509.3,0.6566666666666666
2599-CIPQE,Não,Homem,Não,Sim,Sim,71,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Cartão de Crédito,109.3,7782.85,3.643333333333333
2599-CZABP,Não,Homem,Não,Sim,Não,14,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Um ano,Não,Eletrônico,44.6,641.25,1.4866666666666668
2603-HVKCG,Não,Homem,Não,Não,Não,31,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,101.4,3143.65,3.3800000000000003
2604-IJPDU,Não,Mulher,Não,Sim,Não,20,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Não,Mês a mês,Sim,Eletrônico,96.55,1901.65,3.2183333333333333
2604-XVDAM,Não,Mulher,Não,Não,Não,12,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Transferência Bancária,43.8,540.95,1.46
2606-PKWJB,Não,Homem,Não,Não,Sim,40,Não,Sem serviço,DSL,Sim,Sim,Não,Sim,Não,Não,Um ano,Não,Correspondência,40.25,1564.05,1.3416666666666666
2606-RMDHZ,Sim,Homem,Não,Não,Não,6,Não,Sem serviço,DSL,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,30.5,208.7,1.0166666666666666
2607-DHDAK,Não,Homem,Não,Sim,Sim,72,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Cartão de Crédito,19.8,1414.65,0.66
2607-FBDFF,Não,Homem,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Mês a mês,Não,Cartão de Crédito,49.0,49.0,1.6333333333333333
2608-BHKFN,Sim,Mulher,Não,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,70.05,266.9,2.335
2609-IAICY,Sim,Mulher,Não,Não,Não,1,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,77.15,77.15,2.5716666666666668
2612-PHGOX,Não,Homem,Não,Sim,Não,64,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Não,Dois anos,Sim,Transferência Bancária,76.1,4818.8,2.5366666666666666
2612-RANWT,Sim,Mulher,Não,Não,Não,12,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Transferência Bancária,100.15,1164.3,3.3383333333333334
2612-RRIDN,Sim,Homem,Não,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,81.0,340.85,2.7
2615-YVMYX,Não,Homem,Sim,Sim,Não,71,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,107.5,7713.55,3.5833333333333335
2616-FLVQC,Não,Homem,Não,Não,Não,64,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Correspondência,19.55,1240.15,0.6516666666666667
2616-UUTFK,Não,Homem,Não,Sim,Não,33,Sim,Sim,DSL,Sim,Sim,Sim,Não,Sim,Não,Mês a mês,Sim,Transferência Bancária,72.75,2447.45,2.425
2619-WFQWU,Sim,Mulher,Não,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,70.15,70.15,2.3383333333333334
2621-UDNLU,Não,Mulher,Não,Sim,Não,3,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,20.85,72.0,0.6950000000000001
2623-DRYAM,Não,Mulher,Não,Sim,Não,70,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Um ano,Sim,Eletrônico,101.75,7069.3,3.3916666666666666
2625-TRCZQ,Não,Mulher,Não,Sim,Não,51,Não,Sem serviço,DSL,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,49.65,2553.35,1.655
2626-URJFX,Sim,Homem,Não,Sim,Sim,4,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,50.9,225.6,1.6966666666666665
2626-VEEWG,Não,Homem,Não,Sim,Sim,67,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Cartão de Crédito,19.4,1284.2,0.6466666666666666
2632-IVXVF,Não,Mulher,Não,Sim,Sim,68,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Dois anos,Não,Cartão de Crédito,111.75,7511.3,3.725
2632-TACXW,Não,Mulher,Não,Sim,Não,62,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,23.65,1416.75,0.7883333333333333
2632-UCGVD,Sim,Homem,Sim,Sim,Não,66,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,100.05,6871.9,3.335
2634-HCZGT,Sim,Homem,Sim,Sim,Não,53,Sim,Sim,DSL,Sim,Não,Não,Sim,Não,Não,Um ano,Sim,Eletrônico,60.05,3229.65,2.0016666666666665
2636-ALXXZ,Sim,Mulher,Sim,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,69.6,69.6,2.32
2636-OHFMN,Sim,Homem,Não,Sim,Não,4,Não,Sem serviço,DSL,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,48.55,201.0,1.6183333333333332
2636-SJDOU,Não,Homem,Não,Não,Não,64,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Não,Não,Um ano,Sim,Cartão de Crédito,84.3,5289.05,2.81
2637-FKFSY,Não,Mulher,Não,Sim,Não,3,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,46.1,130.15,1.5366666666666666
2639-UGMAZ,Não,Homem,Sim,Não,Não,71,Não,Sem serviço,DSL,Sim,Sim,Não,Não,Sim,Sim,Um ano,Sim,Eletrônico,56.45,3985.35,1.8816666666666668
2640-LYMOV,Não,Homem,Não,Não,Não,2,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Sim,Correspondência,19.65,38.8,0.6549999999999999
2640-PMGFL,Sim,Homem,Não,Não,Sim,27,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Não,Não,Mês a mês,Sim,Eletrônico,79.5,2180.55,2.65
2642-DTVCO,Sim,Homem,Sim,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Eletrônico,85.05,746.5,2.835
2642-MAWLJ,Não,Mulher,Não,Sim,Sim,36,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,20.25,717.95,0.675
2645-QTLMB,Sim,Homem,Não,Não,Não,7,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,94.25,669.0,3.1416666666666666
2649-HWLYB,Não,Homem,Não,Sim,Não,65,Sim,Sim,DSL,Sim,Não,Sim,Sim,Não,Sim,Dois anos,Não,Transferência Bancária,76.15,4929.55,2.5383333333333336
2650-GYRYL,Não,Homem,Não,Sim,Sim,33,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Transferência Bancária,19.45,600.25,0.6483333333333333
2651-ZCBXV,Não,Homem,Não,Não,Não,54,Sim,Sim,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Dois anos,Sim,Cartão de Crédito,108.0,5760.65,3.6
2654-VBVPB,Não,Mulher,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Transferência Bancária,19.9,19.9,0.6633333333333333
2656-FMOKZ,Sim,Mulher,Sim,Não,Não,15,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,74.45,1145.7,2.481666666666667
2656-TABEH,Sim,Homem,Não,Sim,Não,4,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,100.2,420.2,3.3400000000000003
2657-ALMWY,Sim,Mulher,Sim,Sim,Não,26,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mês a mês,Não,Eletrônico,84.95,2169.75,2.8316666666666666
2657-VPXTA,Não,Mulher,Não,Sim,Sim,10,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,88.85,929.45,2.9616666666666664
2659-VXMWZ,Sim,Homem,Não,Sim,Sim,67,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Sim,Um ano,Sim,Eletrônico,111.3,7482.1,3.71
2660-EMUBI,Sim,Homem,Sim,Não,Não,10,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,95.35,898.35,3.1783333333333332
2661-GKBTK,Não,Homem,Não,Sim,Sim,60,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Sim,Dois anos,Não,Transferência Bancária,76.95,4543.95,2.565
2662-NNTDK,Não,Homem,Não,Não,Não,65,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Cartão de Crédito,24.8,1600.95,0.8266666666666667
2664-XJZNO,Não,Homem,Não,Sim,Sim,72,Sim,Não,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Dois anos,Sim,Cartão de Crédito,104.9,7559.55,3.496666666666667
2665-NPTGL,Não,Mulher,Sim,Sim,Não,26,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Transferência Bancária,98.1,2510.7,3.27
2667-WYLWJ,Sim,Mulher,Não,Sim,Sim,8,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Correspondência,19.75,145.0,0.6583333333333333
2668-TZSPS,Não,Homem,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,20.45,20.45,0.6816666666666666
2669-OIDSD,Não,Mulher,Não,Sim,Não,48,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,100.05,4834.0,3.335
2669-QVCRG,Não,Mulher,Não,Não,Não,41,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,81.3,3190.65,2.71
2672-DZUOY,Sim,Homem,Não,Não,Não,1,Não,Sem serviço,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,25.15,25.15,0.8383333333333333
2672-HUYVI,Sim,Mulher,Não,Não,Não,6,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,91.1,455.3,3.0366666666666666
2672-OJQZP,Não,Mulher,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Correspondência,44.75,44.75,1.4916666666666667
2672-TGEFF,Não,Mulher,Não,Sim,Sim,37,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,88.8,3340.55,2.96
2673-CXQEU,Não,Mulher,Sim,Não,Não,56,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Sim,Um ano,Não,Eletrônico,110.5,6139.5,3.683333333333333
2673-ZALNP,Não,Mulher,Não,Não,Não,7,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Correspondência,19.9,173.15,0.6633333333333333
2674-MIAHT,Não,Mulher,Não,Não,Não,4,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,80.3,324.2,2.6766666666666667
2674-MLXMN,Não,Mulher,Sim,Não,Não,71,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,99.65,6951.15,3.3216666666666668
2675-DHUTR,Não,Homem,Sim,Sim,Não,58,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,98.9,5780.7,3.296666666666667
2675-IJRGJ,Não,Homem,Não,Não,Não,53,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,19.65,978.0,0.6549999999999999
2675-OTVVJ,Não,Homem,Sim,Sim,Não,31,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mês a mês,Não,Eletrônico,89.45,2807.65,2.981666666666667
2676-ISHSF,Não,Homem,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,20.3,20.3,0.6766666666666666
2676-OXPPQ,Não,Homem,Não,Não,Não,6,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,55.7,335.65,1.8566666666666667
2676-SSLTO,Não,Homem,Não,Não,Não,49,Sim,Sim,DSL,Não,Não,Não,Sim,Sim,Não,Dois anos,Sim,Transferência Bancária,66.15,3199.0,2.205
2680-XKKNJ,Não,Mulher,Não,Não,Não,8,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Um ano,Não,Transferência Bancária,58.2,469.25,1.9400000000000002
2682-KEVRP,Não,Mulher,Sim,Não,Não,22,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Correspondência,20.05,417.0,0.6683333333333333
2683-BPJSO,Sim,Homem,Não,Sim,Não,29,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,84.45,2467.1,2.815
2683-JXWQQ,Não,Homem,Não,Sim,Sim,61,Não,Sem serviço,DSL,Sim,Não,Sim,Não,Não,Não,Mês a mês,Não,Transferência Bancária,33.6,2117.2,1.12
2684-EIWEO,Sim,Mulher,Sim,Não,Não,30,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Não,Não,Mês a mês,Não,Cartão de Crédito,91.7,2758.15,3.0566666666666666
2685-SREOM,Sim,Mulher,Não,Sim,Sim,25,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Eletrônico,89.1,2368.4,2.9699999999999998
2688-BHGOG,Não,Homem,Sim,Não,Não,9,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Eletrônico,79.55,718.55,2.6516666666666664
2690-DVRVK,Não,Homem,Não,Sim,Sim,5,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Eletrônico,20.55,99.45,0.685
2691-NZETQ,Sim,Homem,Não,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,85.35,758.6,2.8449999999999998
